ac_month;b01_tufe;b02_mineral;b03_main_metal;b04_other_metal;b05_petrol;b06_wood;b07_electricity;b08_computer;b09_ufe;b10_machinery;r_usd_try;r_eur_try
44531;686.95;343.85;2367.77;2856.06;2408.67;810.24;918.17;789.34;1022.25;737.28;15.1139;13.353
44562;0;0;0;0;0;0;0;0;0;0;15.3229;13.5348
44593;0;0;0;0;0;0;0;0;0;0;15.483;13.6547
44621;0;0;0;0;0;0;0;0;0;0;16.1005;14.6139
44652;0;0;0;0;0;0;0;0;0;0;15.9145;14.7037
44682;0;0;0;0;0;0;0;0;0;0;16.6343;15.7197
44713;0;0;0;0;0;0;0;0;0;0;17.9681;16.9924
44743;0;0;0;0;0;0;0;0;0;0;17.8537;17.4831
44774;0;0;0;0;0;0;0;0;0;0;18.2622;18.0237
44805;0;0;0;0;0;0;0;0;0;0;18.1442;18.3137
44835;0;0;0;0;0;0;0;0;0;0;18.2612;18.5838
44866;0;0;0;0;0;0;0;0;0;0;18.9742;18.6089
44896;0;0;0;0;0;0;0;0;0;0;19.7521;18.6573
44927;0;0;0;0;0;0;0;0;0;0;20.2326;18.7785
44958;0;0;0;0;0;0;0;0;0;0;20.195;18.8441
44986;0;0;0;0;0;0;0;0;0;0;20.3437;18.9989
45017;0;0;0;0;0;0;0;0;0;0;21.1951;19.334
45047;0;0;0;0;0;0;0;0;0;0;21.478;19.7607
45078;0;0;0;0;0;0;0;0;0;0;25.1272;23.2187
45108;0;0;0;0;0;0;0;0;0;0;29.304;26.4994
45139;1614.31;963.83;4231.07;5459.49;6499.71;1864.37;2084.4;1341.07;2659.6;1762.8;29.4242;26.9627
45170;0;0;0;0;0;0;0;0;0;0;28.847;27.7964
45200;1749.11;1048.26;4287.22;5517.85;6673.74;2041.36;2144.1;1378.01;2803.29;1869.2;29.3573;28.2552
45231;1806.5;1067.22;4376.36;5718.08;6436.03;2129.65;2205.67;1458.95;2882.04;1925.23;30.8277;28.5829
45261;1859.38;1082.5;4517.42;5849.19;6202.52;2208.32;2250.87;1487.92;2915.02;1968.58;31.7068;29.0353
45292;1984.02;1155.43;4760.87;6229.53;6378.9;2279.58;2361.69;1527.91;3035.59;2151.06;32.3549;29.9909
45323;2073.88;1204.41;4998.52;6286.84;7040.01;2394.26;2427.77;1560.47;3149.03;2212.02;32.9387;30.3318
45352;2139.47;1236.01;5195.92;6971.02;6959.87;2417.47;2486.08;1586.13;3252.79;2274.78;33.5306;30.8722
45383;2207.5;1267.17;5265.54;7523.25;7083.25;2500.49;2540.45;1588.37;3369.98;2309.67;33.8073;31.2111
45413;2281.85;1276.14;5199.87;7491.56;6712.83;2518.42;2604.07;1588.11;3435.96;2356.09;34.891;32.1918
45444;2358.7;1285.17;5135.01;7460;6361.78;2536.47;2669.28;1587.85;3503.23;2403.44;35.1917;32.8863
