ac_month;b01_tufe;b02_mineral;b03_main_metal;b04_other_metal;b05_petrol;b06_wood;b07_electricity;b08_computer;b09_ufe;b10_machinery;r_eur_try;r_usd_try
44531;686.95;343.85;2367.77;2856.06;2408.67;810.24;918.17;789.34;1022.25;737.28;15.1139;13.353
44562;763.23;412.31;2495.39;3041.94;2691.46;877.87;953.84;792.77;1129.03;816.45;15.3229;13.5348
44593;799.93;453.56;2568.25;3228.45;3024.19;960.44;994.81;784.2;1210.6;845.24;15.483;13.6547
44621;843.64;502.06;2878.66;3592.1;4118.83;1018.77;1054.23;789.65;1321.9;879.21;16.1005;14.6139
44652;904.79;542.12;3069.68;3785.55;4257.26;1110.91;1086.87;807.96;1423.27;902.82;15.9145;14.7037
44682;931.76;564.42;3183.54;3734.86;4551.93;1194.39;1124.7;856.25;1548.01;945.82;16.6343;15.7197
44713;977.9;595.42;3279.12;3915.44;5691.23;1274.91;1192.25;936.45;1652.75;1006.95;17.9681;16.9924
44743;1001.03;610.26;3190.01;3653.13;5177.63;1318.77;1232.63;969.92;1738.21;1045.22;17.8537;17.4831
44774;1015.65;624.31;3108.9;3856.15;4875.65;1373.36;1262.87;985.05;1780.05;1080.3;18.2622;18.0237
44805;1046.89;659.25;3132.95;3794.03;4736.31;1400.14;1297.84;1000.81;1865.09;1103.61;18.1442;18.3137
44835;1084;686.76;3143.79;3820.51;5034.41;1430.51;1318.66;1024.52;2011.13;1148.3;18.2612;18.5838
44866;1115.26;707.69;3121.86;3920.18;4932.09;1430.62;1366.38;1046.04;2026.08;1180.23;18.9742;18.6089
44896;1128.45;715.3;3151.41;4004.73;4312.36;1430.96;1395.91;1064.87;2021.19;1204.94;19.7521;18.6573
44927;1203.48;754.6;3218.34;4168.48;4470.39;1438.91;1440.25;1082.01;2105.17;1305.39;20.2326;18.7785
44958;1241.33;778.31;3323.44;4207.61;4404.82;1471.93;1456.31;1160.31;2138.04;1333.49;20.195;18.8441
44986;1269.75;791.19;3426.85;4145.7;4194.8;1527.59;1473.18;1185.1;2147.44;1357.76;20.3437;18.9989
45017;1300.04;810.72;3506.86;4225.27;4206.68;1558.4;1542.72;1200.34;2164.94;1395.43;21.1951;19.334
45047;1300.6;811.49;3515.08;4200.31;3843.45;1616.41;1586.5;1209.67;2179.02;1424.63;21.478;19.7607
45078;1351.59;826.34;3823.46;4665.91;4541.81;1696.66;1724.78;1227.55;2320.72;1526.03;25.1272;23.2187
45108;1479.84;897.51;4173.12;5361.27;5462.3;1767.03;2016.7;1309.51;2511.75;1693.95;29.304;26.4994
45139;1614.31;963.83;4231.07;5459.49;6499.71;1864.37;2084.4;1341.07;2659.6;1762.8;29.4242;26.9627
45170;1691.04;1008.27;4226.72;5480.31;6891.46;1960.01;2076.78;1346.22;2749.98;1825.57;28.847;27.7964
45200;1749.11;1048.26;4287.22;5517.85;6673.74;2041.36;2144.1;1378.01;2803.29;1869.2;29.3573;28.2552
45231;1806.5;1067.22;4376.36;5718.08;6436.03;2129.65;2205.67;1458.95;2882.04;1925.23;30.8277;28.5829
45261;1859.38;1082.5;4517.42;5849.19;6202.52;2208.32;2250.87;1487.92;2915.02;1968.58;31.7068;29.0353
45292;1984.02;1155.43;4760.87;6229.53;6378.9;2279.58;2361.69;1527.91;3035.59;2151.06;32.7935340909;30.0657113636
45323;2073.88;1204.41;4998.52;6286.84;7040.01;2394.26;2427.77;1560.47;3149.03;2212.02;33.2136547619;30.7730071429
45352;2139.47;1236.01;5195.92;6971.02;6959.87;2417.47;2486.08;1586.13;3252.79;2274.78;34.7942690476;32.0116333333
45383;2207.5;1267.17;5265.54;7523.25;7083.25;2500.49;2540.45;1588.37;3369.98;2309.67;34.633211111111;32.271327777778
45413;2281.85;1276.14;5199.87;7491.56;6712.83;2518.42;2604.07;1588.11;3435.96;2356.09;34.782431818182;32.189895454545
45444;2319.29;1297.93;5157.5;7419.51;6660.9;2576.92;2608.56;1590.88;3483.25;2393.21;34.981735294118;32.462747058824
45474;2394.1;1324.1;5170.44;7587.58;7045.82;2609.4;2664.49;1671.57;3550.88;2436.29;35.576540909091;32.835327272727
45505;2453.34;1380.27;5184.47;7626.26;6727.97;2702.43;2782.07;1676.35;3610.51;2525.85;36.906657142857;33.560780952381
